caves;stalagmite;latitude;longitude;depth;age;O18;O18_error;C13;C13_error;
Cueva de Diamante;NAR-C;-5.733333;-77.5;22.89230769;7.736;-6.59;-;-10.59;-;2.2
Cueva de Diamante;NAR-C;-5.733333;-77.5;22.98461538;7.777;-6.47;-;-10.74;-;2.25
Cueva de Diamante;NAR-C;-5.733333;-77.5;23.07692308;7.819;-6.46;-;-10.78;-;2.2
Cueva de Diamante;NAR-C;-5.733333;-77.5;23.16923077;7.86;-6.47;-;-10.87;-;2.25
Cueva de Diamante;NAR-C;-5.733333;-77.5;23.26153846;7.902;-6.61;-;-10.92;-;2.2
Cueva de Diamante;NAR-C;-5.733333;-77.5;23.35384615;7.943;-6.61;-;-10.54;-;2.25
Cueva de Diamante;NAR-C;-5.733333;-77.5;23.44615385;7.985;-6.46;-;-10.68;-;2.2
Cueva de Diamante;NAR-C;-5.733333;-77.5;23.53846154;8.027;-6.79;-;-10.55;-;2.2
Cueva de Diamante;NAR-C;-5.733333;-77.5;23.63076923;8.068;-6.79;-;-10.61;-;2.25
Cueva de Diamante;NAR-C;-5.733333;-77.5;23.72307692;8.11;-6.55;-;-10;-;2.2
Cueva de Diamante;NAR-C;-5.733333;-77.5;23.81538462;8.151;-5.92;-;-9.92;-;2.25
Cueva de Diamante;NAR-C;-5.733333;-77.5;23.90769231;8.193;-5.88;-;-9.58;-;2.2
Cueva de Diamante;NAR-C;-5.733333;-77.5;24;8.234;-6.07;-;-7.4;-;2.25
Cueva de Diamante;NAR-C;-5.733333;-77.5;24.15;8.302;-5.77;-;-7.64;-;2.21
Cueva de Diamante;NAR-C;-5.733333;-77.5;24.71;8.321;-5.98;-;-9.35;-;29.47
Cueva de Diamante;NAR-C;-5.733333;-77.5;25.27;8.34;-6.08;-;-8.18;-;29.47
Cueva de Diamante;NAR-C;-5.733333;-77.5;25.83;8.359;-6.32;-;-8.74;-;29.47
Cueva de Diamante;NAR-C;-5.733333;-77.5;26.39;8.379;-5.4;-;-8.8;-;28
Cueva de Diamante;NAR-C;-5.733333;-77.5;26.95;8.398;-6.09;-;-9.7;-;29.47
Cueva de Diamante;NAR-C;-5.733333;-77.5;27.25;8.629;-5.69;-;-8.17;-;1.3
Cueva de Diamante;NAR-C;-5.733333;-77.5;27.45;8.782;-6.09;-;-8.76;-;1.31
Cueva de Diamante;NAR-C;-5.733333;-77.5;27.65;8.936;-5.59;-;-8.06;-;1.3
Cueva de Diamante;NAR-C;-5.733333;-77.5;27.8;9.052;-5.54;-;-7.8;-;1.29
Cueva de Diamante;NAR-C;-5.733333;-77.5;27.92142857;9.145;-6.08;-;-8.58;-;1.31
Cueva de Diamante;NAR-C;-5.733333;-77.5;28.04285714;9.239;-6.05;-;-8.93;-;1.29
